A graphical user interface to map folders to virtual drives (see SUBST command). This can be done for the current user and for all users at Windows startup.,Eine grafische Benutzeroberfläche zur Zuordnung von Ordnern zu virtuellen Laufwerken (siehe Befehl SUBST). Dies kann für den aktuellen Benutzer und für alle Benutzer beim Start von Windows erfolgen.
• Update Windows App SDK and NuGet packages.,• Aktualisiert Windows App SDK und NuGet-Pakete.
SUBSTitute,SUBSTitute
,
,
,
A graphical user interface to map folders to virtual drives (see SUBST command).,Eine grafische Benutzeroberfläche zur Zuordnung von Ordnern zu virtuellen Laufwerken (siehe Befehl SUBST).
David Sungaila,David Sungaila
,
,
View a list of all real and virtual drives on your computer.,Zeigen Sie eine Liste aller realen und virtuellen Laufwerke auf Ihrem Computer an.
Map an existing folder to a new virtual drive.,Einen vorhandenen Ordner einem neuen virtuellen Laufwerk zuordnen.
Support for a dark app theme included.,Unterstützung für ein dunkles App-Thema verfügbar.
View all available drives in a grid view.,Zeigen Sie alle verfügbaren Laufwerke in einer Rasteransicht an.
View all available drives in a tiled view.,Zeigen Sie alle verfügbaren Laufwerke in einer Kachelansicht an.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
SUBST,SUBST
Virtual drive,Virtuelles Laufwerk
Startup,Start
,
,
,
,
