"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"2","A graphical user interface to map folders to virtual drives (see SUBST command). This can be done for the current user and for all users at Windows startup.","Graafiline kasutajaliides kaustade vastendamiseks virtuaalseteks ketasteks (vt ka SUBST käsu teavet). Seda saad seadistada Windowsi käivitumisel nii ühe või kõikide kasutajate jaoks.","","False","","",""
"3","• Update Windows App SDK and NuGet packages.","• Windows App SDK ja NuGeti pakettide uuendus.","","False","","",""
"4","SUBSTitute","SUBSTitute","","False","","",""
"8","A graphical user interface to map folders to virtual drives (see SUBST command).","Graafiline kasutajaliides kaustade vastendamiseks virtuaalseteks ketasteks (vt ka SUBST käsu teavet).","","False","","",""
"9","David Sungaila","David Sungaila","","False","","",""
"150","View a list of all real and virtual drives on your computer.","Tegelikke ja virtuaalsete kestaste vaade sinu arvutis.","","False","","",""
"151","Map an existing folder to a new virtual drive.","Olemasoleva kausta vastendamine virtuaalseks kettaks.","","False","","",""
"152","Support for a dark app theme included.","Vaade tumeda kujundusega.","","False","","",""
"153","View all available drives in a grid view.","Kõik olemasolevad kettad ruudustikuvaates.","","False","","",""
"154","View all available drives in a tiled view.","Kõik olemasolevad kettad kompaktses loendivaates.","","False","","",""
"900","SUBST","SUBST","","False","","",""
"901","Virtual drive","Virtuaalketas","","False","","",""
"902","Startup","Alglaadimine","","False","","",""
