"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"2","A graphical user interface to map folders to virtual drives (see SUBST command). This can be done for the current user and for all users at Windows startup.","","","False","","",""
"3","• Update Windows App SDK and NuGet packages.","","","False","","",""
"4","SUBSTitute","SUBSTitute","","False","","",""
"8","A graphical user interface to map folders to virtual drives (see SUBST command).","","","False","","",""
"9","David Sungaila","David Sungaila","","False","","",""
"150","View a list of all real and virtual drives on your computer.","","","False","","",""
"151","Map an existing folder to a new virtual drive.","","","False","","",""
"152","Support for a dark app theme included.","","","False","","",""
"153","View all available drives in a grid view.","","","False","","",""
"154","View all available drives in a tiled view.","","","False","","",""
"900","SUBST","SUBST","","False","","",""
"901","Virtual drive","","","False","","",""
"902","Startup","","","False","","",""
